season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
16_season,Bournemouth,Man City,0,2,A,N Swarbrick,8,11,2,3,0,0
16_season,Chelsea,Swansea,3,1,H,N Swarbrick,11,14,1,3,0,0
16_season,Crystal Palace,Middlesbrough,1,0,H,R Madley,13,15,3,1,0,0
16_season,Everton,Sunderland,2,0,H,S Attwell,10,16,0,2,0,0
16_season,Hull,Burnley,1,1,D,M Atkinson,8,13,1,1,0,1
16_season,Watford,West Ham,1,1,D,C Pawson,18,14,4,1,0,1
16_season,West Brom,Bournemouth,2,1,H,M Clattenburg,12,5,2,0,0,0
16_season,Tottenham,Stoke,4,0,H,J Moss,11,14,2,3,0,0
16_season,Leicester,Liverpool,3,1,H,M Oliver,8,5,0,0,0,0
16_season,Leicester,Hull,3,1,H,M Dean,12,13,1,1,0,0
16_season,Liverpool,Arsenal,3,1,H,R Madley,8,15,1,2,0,0
16_season,Man United,Bournemouth,1,1,D,K Friend,9,11,3,2,0,1
16_season,Stoke,Middlesbrough,2,0,H,C Pawson,16,20,1,2,0,0
16_season,Swansea,Burnley,3,2,H,A Taylor,7,13,2,2,0,0
16_season,Watford,Southampton,3,4,A,J Moss,16,9,3,2,0,0
16_season,West Brom,Crystal Palace,0,2,A,M Jones,8,12,0,1,0,0
16_season,Sunderland,Man City,0,2,A,M Atkinson,11,4,1,0,0,0
16_season,Tottenham,Everton,3,2,H,M Oliver,9,14,1,2,0,0
16_season,West Ham,Chelsea,1,2,A,A Marriner,8,8,0,1,0,0
16_season,Man City,Stoke,0,0,D,N Swarbrick,8,11,1,3,0,0
16_season,Bournemouth,West Ham,3,2,H,R Madley,20,15,4,2,0,0
16_season,Everton,West Brom,3,0,H,G Scott,8,12,1,2,0,0
16_season,Hull,Swansea,2,1,H,A Marriner,14,5,3,1,0,0
16_season,Liverpool,Burnley,2,1,H,C Pawson,12,16,2,2,0,0
16_season,Bournemouth,Swansea,2,0,H,M Dean,10,9,0,2,0,0
16_season,Crystal Palace,Watford,1,0,H,M Atkinson,8,15,0,2,0,0
16_season,Everton,Hull,4,0,H,P Tierney,9,7,2,0,0,1
16_season,Stoke,Chelsea,1,2,A,A Taylor,16,11,4,2,1,0
16_season,Sunderland,Burnley,0,0,D,R Madley,14,7,2,1,0,0
16_season,West Brom,Arsenal,3,1,H,N Swarbrick,5,6,1,0,0,0
16_season,West Ham,Leicester,2,3,A,R East,10,14,0,1,0,0
16_season,Man City,Liverpool,1,1,D,M Oliver,14,7,3,3,0,0
16_season,Middlesbrough,Man United,1,3,A,J Moss,9,8,1,1,0,0
16_season,Tottenham,Southampton,2,1,H,A Marriner,12,13,3,3,0,0
16_season,Burnley,Tottenham,0,2,A,S Attwell,9,6,2,0,0,0
16_season,Chelsea,Crystal Palace,1,2,A,C Pawson,12,14,3,2,0,0
16_season,Hull,West Ham,2,1,H,M Jones,16,9,2,2,0,0
16_season,Leicester,Stoke,2,0,H,L Mason,7,11,1,4,0,0
16_season,Liverpool,Everton,3,1,H,A Taylor,17,10,1,3,0,0
16_season,Man United,West Brom,0,0,D,M Dean,15,13,3,3,0,0
16_season,Southampton,Bournemouth,0,0,D,J Moss,14,8,1,0,0,0
